method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,EMC,EMC_star,effective_mode_fraction,mode_weight_JS,mode_weight_TV,max_occupancy_error,mode_count_above_threshold,SW2,MMD2_biased,MMD2_unbiased,mode_count_000,mode_occupancy_ratio_000,mode_count_001,mode_occupancy_ratio_001,mode_count_002,mode_occupancy_ratio_002,mode_count_003,mode_occupancy_ratio_003,mode_count_004,mode_occupancy_ratio_004,mode_count_005,mode_occupancy_ratio_005,mode_count_006,mode_occupancy_ratio_006,mode_count_007,mode_occupancy_ratio_007,mode_count_008,mode_occupancy_ratio_008,mode_count_009,mode_occupancy_ratio_009,mode_count_010,mode_occupancy_ratio_010,mode_count_011,mode_occupancy_ratio_011,mode_count_012,mode_occupancy_ratio_012,mode_count_013,mode_occupancy_ratio_013,mode_count_014,mode_occupancy_ratio_014,mode_count_015,mode_occupancy_ratio_015,mode_count_016,mode_occupancy_ratio_016,mode_count_017,mode_occupancy_ratio_017,mode_count_018,mode_occupancy_ratio_018,mode_count_019,mode_occupancy_ratio_019,mode_count_020,mode_occupancy_ratio_020,mode_count_021,mode_occupancy_ratio_021,mode_count_022,mode_occupancy_ratio_022,mode_count_023,mode_occupancy_ratio_023,mode_count_024,mode_occupancy_ratio_024,mode_count_025,mode_occupancy_ratio_025,mode_count_026,mode_occupancy_ratio_026,mode_count_027,mode_occupancy_ratio_027,mode_count_028,mode_occupancy_ratio_028,mode_count_029,mode_occupancy_ratio_029,mode_count_030,mode_occupancy_ratio_030,mode_count_031,mode_occupancy_ratio_031,mode_count_032,mode_occupancy_ratio_032,mode_count_033,mode_occupancy_ratio_033,mode_count_034,mode_occupancy_ratio_034,mode_count_035,mode_occupancy_ratio_035,mode_count_036,mode_occupancy_ratio_036,mode_count_037,mode_occupancy_ratio_037,mode_count_038,mode_occupancy_ratio_038,mode_count_039,mode_occupancy_ratio_039,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,jump_cap_k,jump_count_mean,jump_count_applied_cumulative,jump_rate_per_particle_time_cumulative,jump_cap_hit_fraction_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,5471a024550bb71fafef76a952762803,False,2,4,0.04,16000.0,4.0,4.0,0.0,0.06100301898463174,0.9999986540061276,0.03130909430563672,0.5877369985559511,0.9379357500000001,0.93793575,1.0,26.440252539408455,0.21289241727291952,0.2124930481278271,963,38.42125736856279,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.32020493115593984,0,0.0,0,0.0,0,0.0,0,0.0,3,0.11981548415440223,0,0.0,0,0.0,11,0.44332047032271715,0,0.0,7,0.2796308872288579,0,0.0,0,0.0,1,0.04001200360108033,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03995684660566588,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07970509116269801,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.159357788113901,0,0.0,0,0.0,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.009625000000000002,155,0.96875,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,5471a024550bb71fafef76a952762803,False,3,4,0.04,16000.0,4.0,4.0,0.0,0.059479453629342365,0.9999986540061276,0.031133622959883617,0.5904037718836863,0.9379357500000001,0.93793575,1.0,26.430350428808364,0.2129930595835383,0.2125937058338555,963,38.42125736856279,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.16010246557796992,0,0.0,0,0.0,0,0.0,0,0.0,6,0.23963096830880445,0,0.0,0,0.0,9,0.36271674844585955,0,0.0,8,0.31957815683298046,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.359611619450993,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03985254558134901,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.009625000000000002,155,0.96875,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,5471a024550bb71fafef76a952762803,False,0,6,0.06,24000.0,6.0,6.0,0.0,0.08899728424709125,0.9999986540061276,0.03471514608081895,0.5716780221913351,0.91693575,0.91693575,2.0,26.248472154681284,0.213599484448329,0.21319810212746015,942,37.5834106346689,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,0.6804354787063721,0,0.0,0,0.0,0,0.0,0,0.0,8,0.3195079577450726,0,0.0,0,0.0,9,0.36271674844585955,0,0.0,4,0.15978907841649023,0,0.0,0,0.0,2,0.08002400720216066,0,0.0,0,0.0,0,0.0,0,0.0,11,0.4395253126623247,0,0.0,0,0.0,0,0.0,0,0.0,6,0.23911527348809405,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03983944702847525,0,0.0,0,0.0,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.010375,238,0.9916666666666667,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,5471a024550bb71fafef76a952762803,False,1,6,0.06,24000.0,6.0,6.0,0.0,0.07885586688019454,0.9999986540061276,0.03344042883137045,0.577287777690832,0.92493575,0.9249357500000001,1.0,26.28158428411841,0.2126593357815154,0.21225873151094743,950,37.90259034281896,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.44028178033941723,0,0.0,0,0.0,0,0.0,0,0.0,7,0.2795694630269385,0,0.0,0,0.0,8,0.3224148875074307,0,0.0,10,0.3994726960412256,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.31965477284532706,0,0.0,0,0.0,0,0.0,0,0.0,4,0.15941018232539603,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0796788940569505,0,0.0,0,0.0,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.010375,238,0.9916666666666667,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,5471a024550bb71fafef76a952762803,False,2,6,0.06,24000.0,6.0,6.0,0.0,0.08575828747359499,0.9999986540061276,0.03430282833605747,0.5740174593853411,0.91893575,0.91893575,2.0,26.220334016398677,0.21179273575196444,0.2113918284268015,944,37.66320556170642,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.44028178033941723,0,0.0,0,0.0,0,0.0,0,0.0,4,0.1597539788725363,0,0.0,0,0.0,17,0.6851316359532903,0,0.0,12,0.4793672352494707,0,0.0,0,0.0,1,0.04001200360108033,0,0.0,0,0.0,0,0.0,0,0.0,4,0.15982738642266353,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07970509116269801,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.19919723514237625,0,0.0,0,0.0,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.010375,238,0.9916666666666667,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,5471a024550bb71fafef76a952762803,False,3,6,0.06,24000.0,6.0,6.0,0.0,0.09135992422467631,0.9999986540061276,0.03501902804782721,0.5734167166033203,0.91293575,0.91293575,3.0,26.147662135402804,0.2117979793946132,0.2113966247957102,938,37.42382078059388,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.40025616394492475,0,0.0,0,0.0,0,0.0,0,0.0,7,0.2795694630269385,0,0.0,0,0.0,16,0.6448297750148614,0,0.0,15,0.5992090440618384,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.4395253126623247,0,0.0,0,0.0,0,0.0,0,0.0,3,0.11955763674404703,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.010375,238,0.9916666666666667,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,5471a024550bb71fafef76a952762803,False,0,8,0.08,32000.0,8.0,8.0,0.0,0.10275707248377183,0.9999986540061276,0.03652271070964615,0.5631593825847354,0.9069357500000002,0.90693575,3.0,26.125147735146427,0.21330027030134102,0.2128978735192849,932,37.18443599948134,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,0.7204610951008646,0,0.0,0,0.0,0,0.0,0,0.0,8,0.3195079577450726,0,0.0,0,0.0,10,0.40301860938428835,0,0.0,6,0.23968361762473536,0,0.0,0,0.0,3,0.12003601080324099,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,14,0.5593958524793224,0,0.0,0,0.0,0,0.0,0,0.0,7,0.27896781906944307,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03983944702847525,0,0.0,0,0.0,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.011125,327,1.021875,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,5471a024550bb71fafef76a952762803,False,1,8,0.08,32000.0,8.0,8.0,0.0,0.10509635921412484,0.9999986540061276,0.036839241608081684,0.5647848852692187,0.9029357500000001,0.90293575,3.0,26.02799473790712,0.21237166274731722,0.21196898161117517,928,37.02484614540631,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,0.7204610951008646,0,0.0,0,0.0,0,0.0,0,0.0,8,0.3195079577450726,0,0.0,0,0.0,11,0.44332047032271715,0,0.0,17,0.6791035832700836,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.4395253126623247,0,0.0,0,0.0,0,0.0,0,0.0,5,0.19926272790674504,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0796788940569505,0,0.0,0,0.0,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.011125,327,1.021875,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,5471a024550bb71fafef76a952762803,False,2,8,0.08,32000.0,8.0,8.0,0.0,0.11173077991106281,0.9999986540061276,0.037751952766620786,0.5593018691350675,0.89893575,0.89893575,4.0,25.970804320217425,0.21054453058792477,0.21014186262469303,924,36.86525629133128,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,0.5603586295228947,0,0.0,0,0.0,0,0.0,0,0.0,8,0.3195079577450726,0,0.0,0,0.0,21,0.8463390797070056,0,0.0,15,0.5992090440618384,0,0.0,0,0.0,1,0.04001200360108033,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,8,0.31965477284532706,0,0.0,0,0.0,0,0.0,0,0.0,4,0.15941018232539603,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.159357788113901,0,0.0,0,0.0,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.011125,327,1.021875,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,5471a024550bb71fafef76a952762803,False,3,8,0.08,32000.0,8.0,8.0,0.0,0.11698347236692543,0.9999986540061276,0.03849058833406923,0.558929474744412,0.89293575,0.89293575,5.0,25.955932040655252,0.21110254738523904,0.21069950929618508,918,36.62587151021874,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04004605296090504,0,0.0,13,0.5203330131284022,0,0.0,0,0.0,0,0.0,0,0.0,9,0.3594464524632067,0,0.0,0,0.0,19,0.7657353578301479,0,0.0,17,0.6791035832700836,0,0.0,0,0.0,0,0.0,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,17,0.6792663922963201,0,0.0,0,0.0,0,0.0,0,0.0,5,0.19926272790674504,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.011125,327,1.021875,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,5471a024550bb71fafef76a952762803,False,0,10,0.1,40000.0,10.0,10.0,0.0,0.11560856256705089,0.9999986540061276,0.03829586305188126,0.5560982970177268,0.8969357499999999,0.89693575,4.0,25.996390798701427,0.2123516248136923,0.21194841970311018,922,36.78546136429377,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,0.7604867114953571,0,0.0,0,0.0,0,0.0,0,0.0,10,0.39938494718134077,0,0.0,0,0.0,13,0.5239241921995749,0,0.0,8,0.31957815683298046,0,0.0,0,0.0,3,0.12003601080324099,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,14,0.5593958524793224,0,0.0,0,0.0,0,0.0,0,0.0,8,0.31882036465079205,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0796788940569505,0,0.0,0,0.0,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.008375,394,0.985,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,5471a024550bb71fafef76a952762803,False,1,10,0.1,40000.0,10.0,10.0,0.0,0.12494462826704211,0.9999986540061276,0.03963773216227113,0.5540285694097361,0.88693575,0.88693575,4.0,25.831607285624457,0.21127174117674352,0.21086748770559316,912,36.386486729106196,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04004605296090504,0,0.0,22,0.8805635606788345,0,0.0,0,0.0,0,0.0,0,0.0,9,0.3594464524632067,0,0.0,0,0.0,15,0.6045279140764325,0,0.0,20,0.7989453920824512,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.4395253126623247,0,0.0,0,0.0,0,0.0,0,0.0,6,0.23911527348809405,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.159357788113901,0,0.0,0,0.0,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.008375,394,0.985,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,5471a024550bb71fafef76a952762803,False,2,10,0.1,40000.0,10.0,10.0,0.0,0.12876008547895834,0.9999986540061276,0.04019956837799281,0.5507390906850735,0.8849357499999999,0.88493575,4.0,25.806570651152803,0.20972702852097058,0.20932316147672692,910,36.306691802068684,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,0.6404098623118797,0,0.0,0,0.0,0,0.0,0,0.0,12,0.4792619366176089,0,0.0,0,0.0,22,0.8866409406454343,0,0.0,17,0.6791035832700836,0,0.0,0,0.0,1,0.04001200360108033,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,10,0.39956846605665886,0,0.0,0,0.0,0,0.0,0,0.0,7,0.27896781906944307,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.159357788113901,0,0.0,0,0.0,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.008375,394,0.985,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,5471a024550bb71fafef76a952762803,False,3,10,0.1,40000.0,10.0,10.0,0.0,0.13547718052146346,0.9999986540061276,0.04120809891299268,0.5511958826397247,0.87593575,0.87593575,5.0,25.767421969348344,0.21052896244003327,0.21012436566910286,901,35.947614630399876,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04004605296090504,0,0.0,18,0.7204610951008646,0,0.0,0,0.0,0,0.0,0,0.0,10,0.39938494718134077,0,0.0,0,0.0,24,0.967244662522292,0,0.0,21,0.8388926616865738,0,0.0,0,0.0,0,0.0,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,18,0.719223238901986,0,0.0,0,0.0,0,0.0,0,0.0,6,0.23911527348809405,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.008375,394,0.985,0.0,0.0,0.0
